#{"t_start": 1745335780.4802299, "env_id": "None"}
r,l,t
-13593.0,89,3.429973
-14249.0,86,4.385079
-16413.0,87,9.141537
-16495.0,89,11.055369
-11972.0,85,12.452371
-16199.0,89,14.005228
-15746.0,87,15.639037
-26030.0,87,16.541257
-12228.0,83,17.453374
-8111.0,87,18.402422
-7378.0,83,20.016122
-6231.0,85,20.937887
-8398.0,90,21.969231
-11094.0,86,23.557623
-7790.0,91,25.676725
-6743.0,85,27.522292
-5891.0,85,28.442789
-6879.0,89,30.04667
-5205.0,87,30.98009
-7406.0,91,31.928952
-5935.0,87,33.480181
-5738.0,89,35.611738
-6845.0,88,37.840727
-5264.0,86,38.756105
-5008.0,86,40.306501
-6366.0,88,41.272331
-7415.0,89,42.274652
-8247.0,89,44.18951
-4540.0,85,45.180919
-7057.0,86,50.08424
-6745.0,87,51.640715
-4638.0,88,52.617242
-5670.0,86,53.610142
-5742.0,83,56.115922
-8274.0,88,57.725816
-5417.0,84,58.653232
-4003.0,86,59.974021
-5313.0,86,61.499824
-5089.0,88,63.497462
-4365.0,84,64.389372
-5056.0,84,65.310762
-8085.0,87,66.895078
-4564.0,85,67.86756
-6086.0,88,68.830742
-5596.0,86,70.348989
-4979.0,87,71.319558
-5585.0,88,72.236279
-4792.0,85,73.142897
-5732.0,88,74.752508
-4315.0,86,76.287955
-4817.0,87,77.156727
-5777.0,85,78.712925
-4150.0,83,79.952663
-6111.0,84,80.812089
-4883.0,86,83.343974
-5956.0,83,85.482479
-3958.0,87,90.871429
-5232.0,85,91.80841
-4411.0,86,93.353253
-4295.0,83,94.249499
-4823.0,81,95.149328
-4177.0,82,96.058372
-3959.0,86,97.630569
-3930.0,84,98.550869
-5096.0,84,99.471789
-4117.0,85,100.37037
-4035.0,83,101.943066
-5532.0,87,102.902159
-4175.0,87,103.820252
-3186.0,85,105.37285
-4507.0,82,106.63198
-4682.0,86,107.562774
-4131.0,85,108.485186
-4373.0,85,110.031518
-3566.0,83,113.153933
-4405.0,86,114.08576
-4939.0,85,115.666909
-4285.0,88,116.588731
-3666.0,85,117.513893
-4001.0,85,118.384396
-4222.0,84,119.893818
-3459.0,85,120.7788
-5696.0,85,122.38222
-4528.0,83,123.902818
-3861.0,83,124.787909
-4284.0,85,125.727793
-4173.0,83,127.011598
-4238.0,84,128.566884
-4152.0,86,129.509003
-5153.0,84,133.286095
-4715.0,86,134.886889
-3877.0,85,135.79035
-2705.0,84,137.035636
-4033.0,85,137.956152
-4051.0,84,139.45369
-3301.0,82,140.34555
-3946.0,86,141.266917
-4318.0,84,142.437888
-3518.0,83,143.972489
-3832.0,87,144.959321
-3823.0,85,145.964658
-4136.0,84,147.531653
-4366.0,85,148.485404
-3701.0,83,149.420634
-3900.0,82,152.678981
-3893.0,84,154.365759
-4635.0,81,156.410136
-3743.0,82,157.339411
-3675.0,85,159.643513
-4341.0,87,161.069276
-4102.0,82,161.978276
-4908.0,85,162.920768
-4758.0,86,164.510338
-4454.0,85,165.428027
-3697.0,83,166.319317
-4645.0,84,169.370008
-3648.0,85,170.402316
-4186.0,83,171.332409
-3537.0,81,172.168569
-3843.0,83,173.708453
-4204.0,81,174.567276
-3667.0,86,175.507257
-4281.0,85,176.448837
-3925.0,83,178.009254
-2939.0,84,179.219968
-3423.0,86,180.164101
-3173.0,83,181.703473
-4202.0,86,182.617536
-4429.0,86,187.389138
-4365.0,83,188.223745
-4413.0,85,189.781239
-3611.0,82,190.640067
-3987.0,83,191.504907
-4409.0,83,193.057193
-4218.0,83,193.943548
-3929.0,85,195.266596
-3699.0,88,196.261674
-3499.0,84,197.816487
-4116.0,86,199.629505
-3167.0,85,200.605985
-3468.0,84,202.131695
-3090.0,86,203.603894
-3939.0,86,204.665545
-3868.0,85,205.590887
-3137.0,87,207.164565
-4025.0,86,208.116962
-3524.0,83,209.077562
-3617.0,85,210.674592
-2790.0,85,214.132126
-2871.0,86,215.167314
-3416.0,85,218.772716
-3898.0,84,220.425043
-3406.0,86,221.403587
-2948.0,83,222.322848
-3151.0,83,223.97476
-3609.0,87,224.931388
-3096.0,82,225.755996
-3594.0,86,226.718581
-3179.0,86,228.326429
-3014.0,83,229.326888
-3377.0,88,230.452883
-3967.0,83,231.492414
-3366.0,82,235.660738
-3286.0,84,236.540694
-3426.0,83,237.800226
-4109.0,81,239.3602
-3703.0,82,240.311994
-3152.0,85,241.338714
-3794.0,84,242.303044
-3416.0,84,243.908319
-4300.0,83,244.982884
-4074.0,83,245.866757
-3627.0,83,247.407194
-3741.0,82,250.23289
-3383.0,83,251.294163
-4230.0,84,252.321271
-3519.0,84,253.846916
-3489.0,83,254.781164
-4583.0,84,255.719216
-3808.0,84,256.67227
-2901.0,83,258.145999
-3379.0,85,260.145424
-4171.0,83,261.041404
-3724.0,82,263.08971
-3589.0,84,264.038542
-3266.0,85,265.031243
-3659.0,84,265.984661
-4258.0,85,267.564143
-3508.0,83,268.508596
-3299.0,86,270.035644
-2852.0,85,272.158596
-3208.0,82,273.069191
-2764.0,83,274.01071
-4231.0,80,274.91649
-3802.0,80,276.488684
-4792.0,83,277.490565
-4497.0,85,278.475604
-4151.0,86,280.150423
-2910.0,84,281.463848
-3826.0,84,282.419674
-3737.0,83,283.323813
-2846.0,85,285.353814
-4128.0,82,287.003086
-3041.0,84,287.961421
-2627.0,84,288.87084
-3577.0,82,290.485384
-4101.0,85,291.533833
-3714.0,85,292.546454
-3857.0,85,294.547896
-3493.0,84,295.514594
-5612.0,82,296.469212
-3501.0,86,297.719776
-3861.0,84,299.290689
-3248.0,82,301.037673
-3713.0,85,302.035311
-4785.0,85,303.651163
-3244.0,83,304.764825
-3148.0,86,305.723099
-3308.0,85,308.310821
-3547.0,83,309.91513
-2716.0,85,310.894549
-3246.0,84,316.143291
-4684.0,84,318.551645
-3420.0,83,319.554909
-2832.0,85,320.494038
-3666.0,83,321.713928
-3015.0,82,323.22186
-2494.0,86,324.160888
-2982.0,85,325.171828
-2459.0,84,326.122557
-2660.0,84,327.679197
-2695.0,85,328.662023
-2734.0,87,329.642842
-2706.0,86,331.256158
-2993.0,87,333.013011
-2871.0,81,333.932572
-3080.0,86,334.93721
-3503.0,86,336.528506
-3062.0,83,337.47093
-3005.0,87,338.494885
-2956.0,85,340.496681
-3009.0,83,341.464568
-3048.0,84,342.432568
-3201.0,84,343.388943
-2598.0,86,344.979731
-5351.0,84,346.38168
-3940.0,85,347.41569
-2988.0,85,349.035332
-3180.0,84,350.437332
-2708.0,85,352.033235
-5187.0,88,353.042068
-2837.0,86,354.653454
-3813.0,84,356.172861
-3552.0,85,357.138309
-3253.0,84,358.777352
-3374.0,84,359.695039
-3999.0,83,360.660822
-3135.0,83,361.53294
-4070.0,83,363.124622
-3175.0,80,364.023172
-3627.0,85,366.83161
-3026.0,85,367.787483
-2718.0,89,369.436384
-3404.0,83,370.323074
-3103.0,80,371.265313
-3086.0,88,372.878168
-2981.0,88,373.818633
-2931.0,83,374.722923
-2991.0,85,376.326599
-2873.0,86,377.924636
-3465.0,87,378.841339
-3331.0,80,379.764784
-3039.0,86,381.300003
-2945.0,84,382.297246
-2809.0,84,383.298271
-2822.0,85,389.639167
-2352.0,85,391.243204
-2498.0,85,392.21136
-3521.0,83,393.173193
-3012.0,82,394.716805
-2776.0,84,395.665877
-2418.0,86,396.641872
-2362.0,85,398.168322
-2331.0,85,399.718312
-2439.0,86,400.644684
-2711.0,86,401.594825
-3587.0,84,403.220579
-3439.0,84,404.211385
-2757.0,85,405.647005
-3140.0,85,406.58009
-2932.0,83,408.116774
-2644.0,85,409.076293
-2989.0,85,410.03531
-2521.0,87,412.402368
-2657.0,84,413.783538
-2959.0,87,414.741907
-2751.0,85,415.701613
-2422.0,85,418.405345
-3309.0,88,419.350107
-3284.0,85,420.265583
-2462.0,85,421.838181
-2293.0,86,423.201439
-2840.0,82,424.953193
-3334.0,86,425.904574
-2427.0,86,427.940953
-3043.0,87,428.869242
-4359.0,83,429.789122
-3407.0,85,431.441125
-2768.0,85,432.41226
-4313.0,85,433.328677
-3340.0,83,434.649126
-4368.0,86,437.738079
-2758.0,84,439.708174
-2587.0,85,440.642554
-2055.0,86,441.666414
-5920.0,87,443.731634
-3356.0,85,444.604771
-2337.0,84,445.546631
-3047.0,85,447.534328
-4016.0,82,449.354803
-2617.0,86,450.280473
-2764.0,86,451.174556
-3059.0,86,452.83383
-2499.0,88,453.786954
-2287.0,87,455.554331
-2821.0,85,457.12472
-2258.0,89,459.221605
-3456.0,86,460.230243
-2516.0,86,461.797845
-3279.0,85,462.702566
-2624.0,85,464.474104
-3075.0,88,465.385815
-3291.0,88,466.897504
-3021.0,86,468.242378
-2518.0,88,469.20055
-3121.0,86,470.747279
-2638.0,85,471.688175
-4236.0,84,472.651626
-6785.0,87,473.644779
-8415.0,84,475.240669
-4280.0,84,476.180224
-2480.0,84,477.418154
-5066.0,88,479.068421
-2239.0,84,480.572788
-2538.0,89,481.529397
-3224.0,86,482.480596
-2701.0,86,484.075468
-2399.0,86,485.007472
-2872.0,86,485.951738
-3285.0,87,487.624995
-2589.0,88,489.469745
-2521.0,87,490.360764
-3419.0,85,491.279751
-2560.0,89,492.911802
-2520.0,85,493.779187
-2205.0,85,494.674392
-2699.0,85,496.256372
-2557.0,89,497.646279
-2909.0,84,498.540708
-2818.0,88,500.00717
-2702.0,87,501.623874
-3181.0,87,502.525068
-3856.0,85,503.397996
-2888.0,86,504.954667
-2638.0,88,505.92978
-2433.0,86,506.856092
-2778.0,85,507.758165
-2493.0,84,509.3607
-2515.0,87,510.684463
-2459.0,83,511.53084
-2743.0,86,513.157957
-2598.0,85,514.088599
-2472.0,88,514.989779
-2369.0,84,516.280948
-2633.0,85,517.84684
-2520.0,88,519.31316
-3429.0,83,520.317589
-2707.0,84,521.841528
-4285.0,85,522.789335
-5398.0,86,523.782572
-3008.0,85,524.675438
-2539.0,85,526.291435
-4607.0,86,527.175591
-4157.0,82,528.131998
-6466.0,86,530.770348
-5124.0,89,531.768258
-6614.0,84,532.679682
-5953.0,86,533.71756
-5870.0,85,535.316157
-2779.0,86,536.272983
-3552.0,88,537.298409
-5804.0,85,538.929845
-5064.0,84,539.90467
-3744.0,86,540.834183
-2553.0,87,541.775965
-4044.0,88,544.644717
-3480.0,89,545.708757
-2659.0,86,546.660376
-3621.0,88,548.689826
-3580.0,86,550.523164
-3662.0,86,551.803207
-2808.0,88,552.76143
-2963.0,86,554.359658
-2370.0,86,555.24528
-3004.0,86,556.183396
-3088.0,86,557.820647
-3392.0,85,559.119699
-2365.0,86,560.055738
-2413.0,87,561.001578
-2170.0,86,562.830846
-2804.0,85,563.738157
-2316.0,86,564.967066
-3035.0,85,566.46608
-2668.0,85,567.431685
-2418.0,85,568.284918
-2826.0,87,569.213454
-2550.0,83,571.76142
-2647.0,86,572.724196
-3365.0,85,573.628207
-2488.0,86,575.244198
-2427.0,83,576.189567
-2603.0,85,577.079199
-2384.0,86,578.016385
-2492.0,86,579.546338
-2651.0,84,580.910648
-2755.0,84,581.834051
-2858.0,87,585.983315
-2141.0,86,587.003083
-2543.0,89,587.972468
-2717.0,85,588.902461
-2251.0,83,590.626397
-2245.0,83,591.570038
-2403.0,86,592.913231
-2737.0,85,594.462624
-2246.0,83,596.252418
-2423.0,85,597.206707
-3077.0,83,598.156219
-2468.0,89,599.834142
-2074.0,83,600.768591
-2311.0,83,601.64978
-2675.0,83,603.282753
-2655.0,86,604.261639
-2212.0,86,605.224599
-3074.0,84,606.183157
-2812.0,83,607.698899
-2040.0,85,608.69843
-2313.0,87,609.661536
-2750.0,85,610.598348
-2393.0,86,612.19467
-2575.0,85,613.141953
-3017.0,88,614.076563
-4968.0,85,616.36589
-2665.0,88,617.88503
-2399.0,87,618.897263
-2492.0,87,620.504386
-2366.0,86,621.492991
-2437.0,86,622.444544
-2360.0,86,623.497943
-2142.0,87,625.126272
-2986.0,86,626.032214
-2824.0,86,627.075457
-2320.0,85,628.680452
-2332.0,85,630.140286
-2183.0,83,631.155592
-2825.0,85,632.089924
-2488.0,84,633.644557
-3414.0,85,634.563373
-2193.0,85,635.927999
-2445.0,84,637.51474
-2620.0,85,639.092523
-2738.0,86,640.016746
-2273.0,84,640.933358
-2197.0,85,642.548469
-3131.0,83,643.497774
-2256.0,83,644.751655
-2411.0,82,645.599479
-3055.0,83,647.206767
-3563.0,85,648.093691
-3056.0,85,649.051895
-2157.0,85,650.626998
-2444.0,85,651.50523
-2796.0,85,652.437229
-3736.0,83,653.395422
-2304.0,85,655.055572
-2508.0,83,656.024891
-2707.0,84,656.933924
-2409.0,85,658.57634
-2606.0,87,659.522256
-3010.0,84,660.744714
-2583.0,88,662.022238
-2544.0,88,663.643764
-2706.0,87,665.513774
-2487.0,83,666.417015
-2149.0,87,668.06081
-2313.0,87,669.328548
-2932.0,86,670.269477
-2661.0,85,671.188221
-2390.0,83,673.12101
-6175.0,85,674.066395
-3480.0,88,675.007084
-4944.0,87,679.90934
-2688.0,85,690.850092
-2647.0,85,691.789345
