#{"t_start": 1745384477.7309024, "env_id": "None"}
r,l,t
-29584.0,85,7.326165
-21430.0,85,9.986944
-59254.0,85,13.591615
-28150.0,81,19.257838
-40960.0,83,25.570971
-13575.0,83,33.080035
-33768.0,83,40.442811
-24441.0,84,45.795967
-29956.0,85,52.507207
-41757.0,85,60.934376
-20051.0,81,67.120755
-25701.0,83,73.896784
-15907.0,81,78.758526
-14574.0,81,84.290972
-19989.0,82,87.455355
-14370.0,83,92.522374
-14537.0,83,97.074762
-24719.0,82,104.23076
-12887.0,84,111.460524
-14022.0,84,117.258946
-13538.0,83,123.728341
-10829.0,80,129.835848
-13994.0,85,136.330069
-9871.0,82,140.420517
-12961.0,83,145.902575
-13552.0,83,148.539471
-12282.0,83,150.24335
-15162.0,85,152.427165
-11607.0,83,154.972076
-10933.0,82,156.451398
-11272.0,84,158.693705
-12721.0,84,162.912553
-11809.0,83,168.560845
-7991.0,82,176.530282
-14884.0,84,181.993457
-14797.0,85,187.270333
-10553.0,83,192.560712
-9107.0,82,195.853254
-8641.0,83,200.187616
-8266.0,82,202.517799
-11739.0,83,205.743435
-8493.0,83,209.167339
-9506.0,83,212.300822
-9120.0,85,217.620675
-7360.0,79,222.802161
-9785.0,85,229.372458
-9918.0,82,235.786899
-5689.0,81,239.895321
-7988.0,83,245.25718
-8761.0,83,250.549875
-11600.0,83,254.958901
-7965.0,80,259.193569
-6210.0,83,264.093457
-6137.0,80,267.039199
-6549.0,80,273.113726
-6696.0,80,277.992685
-7117.0,83,283.35851
-5714.0,80,288.088957
-8095.0,83,291.272581
-5945.0,82,294.50852
-4633.0,79,300.85744
-6042.0,81,307.634133
-8663.0,82,314.577917
-5566.0,81,319.819992
-6471.0,81,325.409541
-8336.0,82,331.779185
-7983.0,81,339.415609
-7435.0,81,346.424548
-5277.0,79,349.938252
-5222.0,82,354.421074
-6402.0,80,362.154861
-5660.0,83,366.909547
-8021.0,81,376.252219
-8065.0,80,381.941482
-8214.0,85,388.304681
-7006.0,81,393.168141
-6327.0,79,397.450585
-5384.0,80,403.667299
-5507.0,80,407.618667
-6346.0,80,412.987505
-5903.0,81,417.747359
-6955.0,80,420.555134
-5123.0,82,425.751631
-5914.0,82,430.815675
-5011.0,80,435.063208
-5680.0,79,439.534738
-6933.0,83,443.109064
-5614.0,83,446.998102
-6214.0,82,453.294847
-5154.0,82,458.780703
-6977.0,82,464.412178
-5780.0,83,470.041298
-6051.0,81,474.860388
-5015.0,80,482.194595
-5414.0,78,488.244209
-4613.0,78,491.660273
-6224.0,82,496.824129
-5337.0,80,501.154254
-4853.0,80,506.136755
-6328.0,80,511.806757
-6286.0,81,520.051482
-4913.0,80,526.936841
-5838.0,80,533.955335
-5170.0,81,539.929996
-6023.0,82,546.385406
-6072.0,82,550.452898
-5718.0,80,554.804739
-5872.0,80,560.158813
-6034.0,79,563.300953
-5692.0,80,567.073107
-6938.0,81,571.255665
-4502.0,82,575.024532
-4806.0,82,582.15621
-5507.0,82,586.519639
-5003.0,82,592.250122
-6702.0,82,596.345465
-4645.0,80,602.625021
-4645.0,83,609.30781
-4232.0,79,614.31884
-4476.0,80,619.967999
-5511.0,83,625.806864
-5946.0,81,632.158363
-5250.0,79,640.139309
-4317.0,78,645.436467
-5363.0,77,656.426888
-4878.0,79,659.515307
-4484.0,80,661.368784
-4380.0,80,663.209599
-5349.0,79,665.441701
-5456.0,80,668.047593
-4943.0,80,670.574312
-4768.0,81,672.74226
-4897.0,80,675.361507
-3985.0,80,678.491371
-6264.0,78,681.528562
-4660.0,81,685.337405
-4415.0,81,689.935861
-4915.0,81,696.37108
-4677.0,77,700.937541
-5313.0,82,704.926539
-4648.0,80,708.477661
-5829.0,82,713.553586
-5209.0,80,718.222607
-4747.0,79,724.3063
-5576.0,80,728.617908
-4801.0,80,734.820308
-5796.0,83,740.578127
-5735.0,80,745.733202
-5173.0,82,753.811542
-5782.0,81,759.948778
-5842.0,81,766.521255
-5198.0,80,771.934364
-5495.0,79,776.724753
-4912.0,80,783.001302
-5294.0,80,788.902284
-6607.0,81,796.421557
-4335.0,79,800.78041
-5174.0,81,803.635283
-4954.0,79,808.6831
-6762.0,81,813.749871
-4790.0,79,818.018108
-5500.0,82,826.908812
-5883.0,81,832.969845
-7053.0,82,837.790928
-4380.0,80,844.402825
-4477.0,81,850.347339
-5049.0,80,855.599918
-4979.0,79,860.713807
-5157.0,82,863.628449
-5846.0,80,866.921482
-6691.0,81,872.290268
-5401.0,81,876.669806
-4724.0,82,888.11883
-5924.0,78,893.435584
-5434.0,80,897.827558
-4135.0,80,902.802111
-5271.0,80,907.127853
-4652.0,80,913.615809
-4899.0,80,918.204948
-4963.0,81,923.484375
-4438.0,83,930.734437
-7769.0,82,937.360972
-6614.0,81,948.512275
-7798.0,84,955.179754
-4978.0,80,962.413415
-6165.0,82,967.821568
-6887.0,80,976.327655
-4960.0,80,985.142686
-6787.0,82,992.741205
-5277.0,81,998.779301
-3961.0,80,1007.602895
-6484.0,82,1015.889932
-5867.0,84,1021.861692
-4394.0,81,1028.275601
-4140.0,82,1032.946481
-4087.0,79,1035.859778
-4891.0,79,1043.514951
-6324.0,83,1045.864552
-4794.0,77,1047.019325
-5344.0,82,1049.922894
-5881.0,80,1056.045805
-4568.0,80,1064.281409
-4890.0,80,1069.333805
-5713.0,79,1073.130538
-5137.0,82,1078.124809
-5297.0,79,1083.035741
-4937.0,82,1087.428325
-5413.0,82,1092.702272
-4519.0,79,1097.124712
-5264.0,80,1104.050853
-5295.0,79,1113.570531
-6575.0,79,1119.132408
-4575.0,79,1123.544972
-5246.0,82,1129.24104
-4812.0,80,1133.583595
-5218.0,81,1138.8444
-3941.0,79,1142.659688
-5160.0,79,1146.528316
-6005.0,82,1152.745247
-3901.0,80,1158.933619
-4961.0,78,1166.597776
-4753.0,79,1172.803556
-4976.0,81,1177.75132
-5038.0,81,1187.146322
-6608.0,82,1196.064043
-4806.0,82,1200.939221
-4152.0,83,1208.331247
-4359.0,82,1212.838822
-5894.0,81,1224.00702
-3850.0,82,1228.891164
-4617.0,81,1231.614727
-4422.0,83,1239.396496
-4386.0,81,1244.74071
-4711.0,80,1249.592154
-3949.0,79,1256.622511
-4665.0,78,1260.726454
-4542.0,79,1265.223446
-4116.0,80,1273.565692
-5039.0,80,1277.897737
-4244.0,80,1280.863834
-5097.0,80,1284.478241
-3982.0,80,1289.857004
-4623.0,80,1292.602115
-4230.0,80,1296.052258
-4298.0,82,1302.313797
-4950.0,80,1307.926709
-4109.0,79,1314.722116
-4623.0,79,1321.02827
-4489.0,79,1325.386682
-4588.0,78,1328.460795
-4884.0,79,1331.605344
-3404.0,81,1335.56986
-4444.0,80,1341.425802
-4794.0,80,1349.890031
-4231.0,81,1358.777409
-4375.0,81,1365.176915
-4569.0,80,1369.648163
-4393.0,79,1375.021819
-4159.0,78,1380.839066
-4828.0,82,1387.210833
-4565.0,79,1393.337306
-4137.0,79,1398.370904
-3272.0,82,1403.748072
-4425.0,77,1410.598598
-4486.0,78,1418.575703
-4058.0,78,1424.758218
-3627.0,80,1430.022395
-3702.0,79,1435.266804
-4302.0,80,1441.576012
-4553.0,80,1448.700411
-4663.0,79,1454.765996
-5169.0,82,1462.856184
-4061.0,78,1467.696898
-4290.0,82,1475.972044
-4649.0,79,1481.685493
-4236.0,78,1486.857473
-4807.0,78,1492.528099
-3864.0,80,1498.709773
-4056.0,81,1505.004502
-3913.0,79,1511.733843
-4235.0,81,1518.891211
-3861.0,79,1525.338162
-3732.0,82,1530.577268
-4416.0,81,1534.841962
-4309.0,82,1538.827876
-4079.0,79,1545.017169
-4120.0,79,1551.007714
-3968.0,78,1557.413186
-3848.0,79,1563.31904
-3819.0,80,1568.768585
-3911.0,80,1572.765448
-4826.0,81,1576.948521
-4275.0,81,1582.157686
-3910.0,81,1587.382032
-4024.0,80,1595.14189
-4813.0,81,1599.828851
-3392.0,79,1606.766382
-3810.0,79,1611.184751
-5189.0,80,1616.576681
-4389.0,81,1621.270761
-3491.0,79,1626.435243
-4409.0,80,1632.567261
-4068.0,80,1637.733529
-4334.0,81,1645.278955
-3255.0,82,1651.2342
-3689.0,78,1655.968569
-4381.0,80,1659.588362
-4144.0,84,1661.793364
-3867.0,80,1663.182493
-4448.0,80,1665.039391
-4786.0,81,1666.563235
-5057.0,82,1668.439651
-3975.0,79,1670.831922
-4991.0,79,1674.022082
-4799.0,81,1677.175088
-3733.0,80,1681.795515
-4043.0,78,1686.243586
-3280.0,80,1690.570421
-4253.0,80,1694.645136
-3838.0,80,1697.22398
-3596.0,79,1702.319571
-4333.0,80,1707.677021
