#{"t_start": 1745332430.6697452, "env_id": "None"}
r,l,t
-162659.0,85,4.57255
-102779.0,85,6.932589
-151911.0,83,9.478415
-99281.0,86,12.646755
-135458.0,83,15.099636
-126245.0,83,17.570431
-109376.0,80,20.165757
-138442.0,83,23.139066
-91825.0,84,25.595157
-97528.0,86,28.237114
-146647.0,84,31.348394
-150567.0,80,34.233609
-87070.0,85,36.697288
-56316.0,85,39.089486
-80770.0,85,43.237006
-68967.0,82,45.601387
-74095.0,85,48.145259
-73772.0,84,51.136122
-74749.0,84,53.546824
-84201.0,82,58.993536
-69196.0,83,61.419625
-67655.0,84,64.377446
-87427.0,85,66.816931
-75055.0,81,69.194083
-57907.0,84,71.412459
-64285.0,80,75.102194
-87432.0,84,77.548572
-66701.0,82,79.87865
-69594.0,82,82.779811
-60051.0,85,85.124038
-66675.0,81,87.425915
-88444.0,82,89.943168
-67223.0,85,93.053077
-69972.0,82,106.180156
-78142.0,84,108.787499
-70102.0,83,112.137516
-72971.0,82,114.456436
-62227.0,83,116.934026
-67532.0,82,119.3787
-57728.0,82,122.353092
-69018.0,83,124.677225
-59262.0,83,126.945471
-61682.0,82,129.649797
-78747.0,82,133.198477
-60878.0,82,135.607188
-52797.0,83,137.909904
-50785.0,80,141.176239
-78917.0,84,143.806073
-57839.0,82,146.187582
-65011.0,85,148.720053
-62234.0,82,151.789776
-60480.0,80,154.127557
-51310.0,83,156.877011
-49786.0,83,159.322768
-54428.0,83,162.523906
-48508.0,80,164.795197
-53114.0,84,167.165535
-51597.0,82,170.804608
-53225.0,80,173.048936
-50229.0,79,175.301064
-55569.0,80,177.493351
-51129.0,82,180.505662
-62712.0,84,182.844839
-56453.0,78,185.052196
-55156.0,83,187.397375
-48548.0,79,190.205011
-51914.0,81,192.530017
-58611.0,79,195.236382
-47679.0,81,197.518755
-48852.0,80,200.718448
-44301.0,79,203.077617
-49016.0,80,205.446147
-55353.0,82,208.304469
-48668.0,83,210.62031
-46778.0,80,212.862515
-58512.0,79,215.031916
-46298.0,80,218.887729
-47010.0,83,221.15173
-49821.0,80,223.394892
-58100.0,82,225.950366
-48030.0,82,229.020819
-53229.0,79,231.292977
-45280.0,81,233.576253
-40008.0,85,236.635575
-44602.0,77,238.81765
-43383.0,80,241.00889
-49143.0,80,243.281429
-48390.0,80,246.23413
-52859.0,78,248.426158
-44905.0,79,250.677679
-50960.0,79,252.96386
-46253.0,79,255.704751
-55440.0,79,257.920478
-42762.0,78,260.204162
-47409.0,79,262.460773
-50060.0,80,265.5162
-47103.0,80,267.823698
-41997.0,79,269.964519
-53549.0,80,272.889035
-47242.0,79,275.236425
-47161.0,79,278.148877
-45292.0,77,280.322102
-47572.0,79,283.31487
-45061.0,83,285.649514
-53325.0,78,288.350991
-48709.0,79,291.031736
-43762.0,80,294.025918
-43694.0,79,296.358568
-46132.0,79,298.676343
-38372.0,79,301.026739
-42025.0,78,304.188813
-50312.0,78,306.546902
-42326.0,79,308.891247
-40156.0,79,311.206445
-39186.0,78,314.195988
-39655.0,80,316.52509
-42212.0,77,318.841818
-38656.0,79,321.166154
-39664.0,79,324.157733
-41914.0,78,326.869442
-36861.0,78,329.232377
-41612.0,77,332.13861
-43972.0,80,334.837621
-48553.0,77,337.095127
-44415.0,79,339.369031
-40466.0,78,342.423252
-44356.0,77,344.960313
-45879.0,77,347.140926
-47685.0,78,349.595826
-42963.0,77,352.520968
-38965.0,79,354.804774
-38602.0,79,357.11796
-45378.0,77,359.252866
-42039.0,77,362.050066
-39374.0,79,364.450179
-42154.0,77,366.653167
-40595.0,78,368.884454
-43490.0,78,371.908466
-42740.0,77,375.54019
-40871.0,77,377.749216
-39633.0,76,380.657683
-50222.0,77,383.577455
-40753.0,77,385.79366
-40649.0,80,388.338801
-46382.0,78,391.386948
-41545.0,78,393.60095
-43364.0,78,396.482779
-37726.0,79,398.97097
-43605.0,77,401.87243
-41905.0,78,404.202889
-38259.0,78,406.48939
-39878.0,77,408.802081
-42787.0,78,411.832137
-39187.0,76,414.710304
-43616.0,77,417.030102
-38867.0,77,419.234022
-42502.0,76,422.406317
-38456.0,78,424.690104
-36746.0,77,426.994285
-45193.0,77,429.240595
-45802.0,78,432.214575
-47469.0,79,434.575814
-40820.0,77,436.891778
-39234.0,79,439.541577
-38053.0,78,442.389362
-37185.0,78,445.431954
-41504.0,79,447.957022
-36808.0,78,450.580805
-50077.0,80,453.830532
-41645.0,77,456.160916
-40658.0,80,458.494756
-45805.0,79,461.467005
-41334.0,76,463.73046
-49958.0,79,466.08878
-44325.0,77,468.317142
-38698.0,77,471.238967
-40994.0,79,474.575585
-40383.0,76,476.940643
-44536.0,78,479.409027
-46185.0,77,482.455005
-38036.0,79,484.885808
-47175.0,78,487.546127
-44982.0,77,489.824966
-45721.0,78,492.818178
-46554.0,79,495.245052
-37912.0,77,497.567867
-43423.0,77,499.831583
-36313.0,78,503.696832
-46148.0,77,506.191031
-42952.0,78,508.572479
-44282.0,77,510.898813
-36909.0,78,514.141663
-45030.0,77,516.547663
-43879.0,79,518.902538
-41778.0,78,521.201772
-41925.0,78,524.360328
-41088.0,77,526.719864
-42283.0,78,528.998075
-44815.0,78,532.162209
-44783.0,79,534.479177
-42289.0,77,536.742283
-41050.0,79,539.248426
-36619.0,79,542.42163
-39449.0,79,544.837528
-44325.0,78,547.26437
-37653.0,79,549.523412
-42976.0,78,552.586701
-38239.0,79,554.881253
-45658.0,77,557.172465
-46155.0,79,559.596593
-44907.0,81,562.588457
-40770.0,79,565.143517
-35636.0,77,567.565437
-39193.0,79,570.153006
-45240.0,77,573.08186
-43178.0,79,575.577625
-39187.0,78,579.534404
-43569.0,79,582.090739
-37473.0,78,586.15552
-38319.0,77,588.518637
-38332.0,78,590.920471
-44040.0,77,594.072064
